Date,Open,High,Low,Close,Adj Close,Volume
2001-02-06,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-07,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-08,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-09,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-12,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-13,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-14,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-15,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-16,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-19,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-20,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-21,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-22,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-23,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-26,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-27,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-28,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-03-01,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-03-02,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-03-05,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-03-06,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-03-07,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-03-08,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-03-09,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-03-12,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-03-13,14.19999886,14.19999886,14.19999886,14.19999886,5.26044178,125000
2001-03-14,14.19999886,14.19999886,14.19999886,14.19999886,5.26044178,0
2001-03-15,14.19999886,14.19999886,14.19999886,14.19999886,5.26044178,0
2001-03-16,14.59999943,14.59999943,14.59999943,14.59999943,5.408623219,111965
2001-03-19,14.59999943,14.59999943,14.59999943,14.59999943,5.408623219,0
2001-03-20,14.59999943,14.59999943,14.59999943,14.59999943,5.408623219,0
2001-03-21,14.59999943,14.59999943,14.59999943,14.59999943,5.408623219,0
2001-03-22,14.59999943,14.59999943,14.59999943,14.59999943,5.408623219,0
2001-03-23,13.99999905,13.99999905,13.99999905,13.99999905,5.186352253,95
2001-03-26,13.99999905,13.99999905,13.99999905,13.99999905,5.186352253,0
2001-03-27,13.99999905,13.99999905,13.99999905,13.99999905,5.186352253,0
2001-03-28,13.99999905,13.99999905,13.99999905,13.99999905,5.186352253,0
2001-03-29,13.99999905,13.99999905,13.99999905,13.99999905,5.186352253,0
2001-03-30,13.99999905,13.99999905,13.99999905,13.99999905,5.186352253,0
2001-04-02,13.99999905,13.99999905,13.99999905,13.99999905,5.186352253,0
2001-04-03,13.99999905,13.99999905,13.99999905,13.99999905,5.186352253,0
2001-04-04,13.99999905,13.99999905,13.99999905,13.99999905,5.186352253,0
2001-04-05,13.99999905,13.99999905,13.99999905,13.99999905,5.186352253,0
2001-04-06,13.99999905,13.99999905,13.99999905,13.99999905,5.186352253,0
2001-04-09,13.99999905,13.99999905,13.99999905,13.99999905,5.186352253,0
2001-04-10,13.99999905,13.99999905,13.99999905,13.99999905,5.186352253,0
2001-04-11,13.99999905,13.99999905,13.99999905,13.99999905,5.186352253,0
2001-04-12,13.99999905,13.99999905,13.99999905,13.99999905,5.186352253,0
2001-04-13,13.99999905,13.99999905,13.99999905,13.99999905,5.186352253,0
2001-04-16,13.99999905,13.99999905,13.99999905,13.99999905,5.186352253,0
2001-04-17,13.99999905,13.99999905,13.99999905,13.99999905,5.186352253,0
2001-04-18,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,20
2001-04-19,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
2001-04-20,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
2001-04-23,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
2001-04-24,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
2001-04-25,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
2001-04-26,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
2001-04-27,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
2001-04-30,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
2001-05-01,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
2001-05-02,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
2001-05-03,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
2001-05-04,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
2001-05-07,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
2001-05-08,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
2001-05-09,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
2001-05-10,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
2001-05-11,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
2001-05-14,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
2001-05-15,14.38999939,14.38999939,14.38999939,14.38999939,5.330828667,0
